2025-10-30 21:20:09,354 - \u2705 Success | Error 0.0846 | Source API (Live)
2025-10-30 22:03:42,190 - \u2705 Success | Error 0.2952 | Source API (Live)
2025-10-30 22:04:03,002 - \u2705 Success | Error 0.265 | Source API (Live)
2025-10-30 22:04:22,299 - \u2705 Success | Error 0.2376 | Source API (Live)
2025-10-30 22:04:42,240 - \u2705 Success | Error 0.2127 | Source API (Live)
2025-10-30 22:05:02,337 - \u2705 Success | Error 0.1901 | Source API (Live)
2025-10-30 22:05:22,381 - \u2705 Success | Error 0.1695 | Source API (Live)
2025-10-30 22:05:42,179 - \u2705 Success | Error 0.1507 | Source API (Live)
2025-10-30 22:06:03,471 - \u2705 Success | Error 0.1337 | Source API (Live)
2025-10-30 22:06:22,930 - \u2705 Success | Error 0.1182 | Source API (Live)
2025-10-30 22:06:42,570 - \u2705 Success | Error 0.104 | Source API (Live)
2025-10-30 22:11:34,425 - \u2705 Success | Error 0.0911 | Source API (Live)
2025-10-30 22:11:34,559 - \u2705 Success | Error 0.1337 | Source API (Live)
2025-10-30 22:11:54,227 - \u2705 Success | Error 0.1182 | Source API (Live)
2025-10-30 22:11:59,498 - \u2705 Success | Error 0.1182 | Source API (Live)
2025-10-30 22:12:19,428 - \u2705 Success | Error 0.104 | Source API (Live)
2025-10-30 22:12:39,250 - \u2705 Success | Error 0.0911 | Source API (Live)
2025-10-30 22:12:59,420 - \u2705 Success | Error 0.0794 | Source API (Live)
2025-10-30 22:13:20,254 - \u2705 Success | Error 0.0687 | Source API (Live)
2025-10-30 22:13:39,371 - \u2705 Success | Error 0.059 | Source API (Live)
2025-10-30 22:13:59,306 - \u2705 Success | Error 0.05 | Source API (Live)
2025-10-30 22:14:19,336 - \u2705 Success | Error 0.0419 | Source API (Live)
2025-10-30 22:14:39,389 - \u2705 Success | Error 0.0345 | Source API (Live)
2025-10-30 22:14:59,580 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-10-30 22:15:20,230 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-10-30 22:15:39,379 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-30 22:15:59,466 - \u2705 Success | Error 0.0107 | Source API (Live)
2025-10-30 22:16:20,159 - \u2705 Success | Error 0.006 | Source API (Live)
2025-10-30 22:16:39,454 - \u2705 Success | Error 0.0017 | Source API (Live)
2025-10-30 22:16:59,460 - \u2705 Success | Error 0.0023 | Source API (Live)
2025-10-30 22:17:20,147 - \u2705 Success | Error 0.0059 | Source API (Live)
2025-10-30 22:17:39,530 - \u2705 Success | Error 0.0092 | Source API (Live)
2025-10-30 22:18:00,537 - \u2705 Success | Error 0.0122 | Source API (Live)
2025-10-30 22:30:07,788 - \u2705 Success | Error 0.104 | Source API (Live)
2025-10-30 22:30:27,732 - \u2705 Success | Error 0.0911 | Source API (Live)
2025-10-30 22:30:47,692 - \u2705 Success | Error 0.0794 | Source API (Live)
2025-10-30 22:31:07,688 - \u2705 Success | Error 0.0687 | Source API (Live)
2025-10-30 22:31:27,907 - \u2705 Success | Error 0.059 | Source API (Live)
2025-10-30 22:31:29,985 - \u2705 Success | Error 0.0911 | Source API (Live)
2025-10-30 22:31:49,806 - \u2705 Success | Error 0.0794 | Source API (Live)
2025-10-30 22:32:10,105 - \u2705 Success | Error 0.0687 | Source API (Live)
2025-10-30 22:32:29,899 - \u2705 Success | Error 0.059 | Source API (Live)
2025-10-30 22:32:49,961 - \u2705 Success | Error 0.05 | Source API (Live)
2025-10-30 22:33:10,030 - \u2705 Success | Error 0.0419 | Source API (Live)
2025-10-30 22:33:30,102 - \u2705 Success | Error 0.0345 | Source API (Live)
2025-10-30 22:33:50,075 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-10-30 22:34:10,960 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-10-30 22:34:30,008 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-30 22:34:50,111 - \u2705 Success | Error 0.0107 | Source API (Live)
2025-10-30 22:35:10,458 - \u2705 Success | Error 0.006 | Source API (Live)
2025-10-30 22:35:30,015 - \u2705 Success | Error 0.0017 | Source API (Live)
2025-10-30 22:36:05,666 - \u2705 Success | Error 0.0023 | Source API (Live)
2025-10-30 22:36:06,129 - \u2705 Success | Error 0.0794 | Source API (Live)
2025-10-30 22:36:16,538 - \u2705 Success | Error 0.0687 | Source API (Live)
2025-10-30 22:36:22,881 - \u2705 Success | Error 0.059 | Source API (Live)
2025-10-30 22:36:43,130 - \u2705 Success | Error 0.05 | Source API (Live)
2025-10-30 22:37:03,091 - \u2705 Success | Error 0.0419 | Source API (Live)
2025-10-30 22:37:22,919 - \u2705 Success | Error 0.0345 | Source API (Live)
2025-10-30 22:37:43,145 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-10-30 22:38:02,968 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-10-30 22:38:23,274 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-30 22:38:43,136 - \u2705 Success | Error 0.0107 | Source API (Live)
2025-10-30 22:39:01,322 - \u2705 Success | Error 0.05 | Source API (Live)
2025-10-30 22:39:21,438 - \u2705 Success | Error 0.0419 | Source API (Live)
2025-10-30 22:39:41,507 - \u2705 Success | Error 0.0345 | Source API (Live)
2025-10-30 22:40:01,368 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-10-30 22:40:21,468 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-10-30 22:40:41,627 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-30 22:40:47,154 - \u2705 Success | Error 0.0419 | Source API (Live)
2025-10-30 22:41:07,420 - \u2705 Success | Error 0.0345 | Source API (Live)
2025-10-30 22:41:27,288 - \u2705 Success | Error 0.0277 | Source API (Live)
2025-10-30 22:41:47,357 - \u2705 Success | Error 0.0215 | Source API (Live)
2025-10-30 22:42:07,423 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-30 22:42:27,153 - \u2705 Success | Error 0.0107 | Source API (Live)
2025-10-30 22:42:47,345 - \u2705 Success | Error 0.006 | Source API (Live)
2025-10-30 22:43:07,430 - \u2705 Success | Error 0.0017 | Source API (Live)
2025-10-30 22:43:27,505 - \u2705 Success | Error 0.0023 | Source API (Live)
2025-10-30 22:43:47,369 - \u2705 Success | Error 0.0059 | Source API (Live)
2025-10-30 22:44:07,453 - \u2705 Success | Error 0.0092 | Source API (Live)
2025-10-30 22:44:27,236 - \u2705 Success | Error 0.0122 | Source API (Live)
2025-10-30 22:44:47,417 - \u2705 Success | Error 0.015 | Source API (Live)
2025-10-30 22:45:07,659 - \u2705 Success | Error 0.0176 | Source API (Live)
2025-10-30 22:45:27,326 - \u2705 Success | Error 0.0199 | Source API (Live)
2025-10-30 22:45:47,287 - \u2705 Success | Error 0.022 | Source API (Live)
2025-10-31 19:53:31,887 - \u2705 Success | Error 0.0636 | Source API (Live)
2025-10-31 19:53:51,337 - \u2705 Success | Error 0.0844 | Source API (Live)
2025-10-31 19:54:11,466 - \u2705 Success | Error 0.0747 | Source API (Live)
2025-10-31 19:54:31,390 - \u2705 Success | Error 0.0657 | Source API (Live)
2025-10-31 19:54:51,291 - \u2705 Success | Error 0.0573 | Source API (Live)
2025-10-31 19:55:11,309 - \u2705 Success | Error 0.0495 | Source API (Live)
2025-10-31 19:55:31,391 - \u2705 Success | Error 0.0423 | Source API (Live)
2025-10-31 19:55:51,610 - \u2705 Success | Error 0.0355 | Source API (Live)
2025-10-31 19:56:11,424 - \u2705 Success | Error 0.0292 | Source API (Live)
2025-10-31 19:56:31,314 - \u2705 Success | Error 0.0234 | Source API (Live)
2025-10-31 19:56:51,486 - \u2705 Success | Error 0.0179 | Source API (Live)
2025-10-31 19:57:11,468 - \u2705 Success | Error 0.0129 | Source API (Live)
2025-10-31 19:57:31,412 - \u2705 Success | Error 0.0081 | Source API (Live)
2025-10-31 19:57:51,398 - \u2705 Success | Error 0.0037 | Source API (Live)
2025-10-31 19:58:11,447 - \u2705 Success | Error 0.0004 | Source API (Live)
2025-10-31 19:58:31,395 - \u2705 Success | Error 0.0042 | Source API (Live)
2025-10-31 19:58:51,424 - \u2705 Success | Error 0.0077 | Source API (Live)
2025-10-31 19:59:11,430 - \u2705 Success | Error 0.011 | Source API (Live)
2025-10-31 19:59:31,457 - \u2705 Success | Error 0.0141 | Source API (Live)
2025-10-31 19:59:51,557 - \u2705 Success | Error 0.017 | Source API (Live)
2025-10-31 20:00:11,482 - \u2705 Success | Error 0.0086 | Source API (Live)
2025-10-31 20:00:32,321 - \u2705 Success | Error 0.0043 | Source API (Live)
2025-10-31 20:00:51,548 - \u2705 Success | Error 0.0002 | Source API (Live)
2025-10-31 20:01:11,921 - \u2705 Success | Error 0.0035 | Source API (Live)
2025-10-31 20:01:34,163 - \u2705 Success | Error 0.007 | Source API (Live)
2025-10-31 20:01:52,857 - \u2705 Success | Error 0.0102 | Source API (Live)
2025-10-31 20:02:11,659 - \u2705 Success | Error 0.0132 | Source API (Live)
2025-10-31 20:02:31,603 - \u2705 Success | Error 0.0159 | Source API (Live)
2025-10-31 20:02:51,492 - \u2705 Success | Error 0.0185 | Source API (Live)
2025-10-31 20:03:11,557 - \u2705 Success | Error 0.0209 | Source API (Live)
2025-10-31 20:03:31,546 - \u2705 Success | Error 0.0231 | Source API (Live)
2025-10-31 20:03:51,636 - \u2705 Success | Error 0.0251 | Source API (Live)
2025-10-31 20:04:11,544 - \u2705 Success | Error 0.027 | Source API (Live)
2025-10-31 20:04:31,745 - \u2705 Success | Error 0.0288 | Source API (Live)
2025-10-31 20:04:51,728 - \u2705 Success | Error 0.0304 | Source API (Live)
2025-10-31 20:05:11,852 - \u2705 Success | Error 0.032 | Source API (Live)
2025-10-31 20:05:32,289 - \u2705 Success | Error 0.0334 | Source API (Live)
2025-10-31 20:05:51,726 - \u2705 Success | Error 0.0347 | Source API (Live)
2025-10-31 20:06:11,524 - \u2705 Success | Error 0.0359 | Source API (Live)
2025-10-31 20:06:31,770 - \u2705 Success | Error 0.037 | Source API (Live)
2025-10-31 20:06:51,629 - \u2705 Success | Error 0.038 | Source API (Live)
2025-10-31 20:07:11,878 - \u2705 Success | Error 0.039 | Source API (Live)
2025-10-31 20:07:31,758 - \u2705 Success | Error 0.0399 | Source API (Live)
2025-10-31 20:07:51,596 - \u2705 Success | Error 0.0407 | Source API (Live)
2025-10-31 20:08:11,600 - \u2705 Success | Error 0.0415 | Source API (Live)
2025-10-31 20:08:31,854 - \u2705 Success | Error 0.0422 | Source API (Live)
2025-10-31 20:08:51,652 - \u2705 Success | Error 0.0429 | Source API (Live)
2025-10-31 20:09:12,145 - \u2705 Success | Error 0.0435 | Source API (Live)
2025-10-31 20:09:31,710 - \u2705 Success | Error 0.044 | Source API (Live)
2025-10-31 20:09:51,678 - \u2705 Success | Error 0.0445 | Source API (Live)
2025-10-31 20:10:11,757 - \u2705 Success | Error 0.045 | Source API (Live)
2025-10-31 20:10:31,726 - \u2705 Success | Error 0.0454 | Source API (Live)
2025-10-31 20:10:51,769 - \u2705 Success | Error 0.0459 | Source API (Live)
2025-10-31 20:11:11,838 - \u2705 Success | Error 0.0462 | Source API (Live)
2025-10-31 20:11:31,824 - \u2705 Success | Error 0.0466 | Source API (Live)
2025-10-31 20:11:51,694 - \u2705 Success | Error 0.0469 | Source API (Live)
2025-10-31 20:12:11,846 - \u2705 Success | Error 0.0472 | Source API (Live)
2025-10-31 20:12:31,740 - \u2705 Success | Error 0.0474 | Source API (Live)
2025-10-31 20:12:51,992 - \u2705 Success | Error 0.0477 | Source API (Live)
2025-10-31 20:13:11,789 - \u2705 Success | Error 0.0479 | Source API (Live)
2025-10-31 20:13:31,746 - \u2705 Success | Error 0.0481 | Source API (Live)
2025-10-31 20:13:51,775 - \u2705 Success | Error 0.0483 | Source API (Live)
2025-10-31 20:14:11,788 - \u2705 Success | Error 0.0484 | Source API (Live)
2025-10-31 20:14:31,935 - \u2705 Success | Error 0.0486 | Source API (Live)
2025-10-31 20:14:51,879 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:15:12,102 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:15:32,226 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:15:51,929 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:16:11,801 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:40:41,550 - \u2705 Success | Error 0.0715 | Source API (Live)
2025-10-31 20:41:01,121 - \u2705 Success | Error 0.0469 | Source API (Live)
2025-10-31 20:41:21,320 - \u2705 Success | Error 0.0472 | Source API (Live)
2025-10-31 20:41:41,118 - \u2705 Success | Error 0.0474 | Source API (Live)
2025-10-31 20:42:01,690 - \u2705 Success | Error 0.0476 | Source API (Live)
2025-10-31 20:42:21,276 - \u2705 Success | Error 0.0478 | Source API (Live)
2025-10-31 20:42:41,219 - \u2705 Success | Error 0.0479 | Source API (Live)
2025-10-31 20:43:01,300 - \u2705 Success | Error 0.0481 | Source API (Live)
2025-10-31 20:43:22,161 - \u2705 Success | Error 0.0482 | Source API (Live)
2025-10-31 20:43:41,236 - \u2705 Success | Error 0.0484 | Source API (Live)
2025-10-31 20:44:02,027 - \u2705 Success | Error 0.0485 | Source API (Live)
2025-10-31 20:44:21,536 - \u2705 Success | Error 0.0486 | Source API (Live)
2025-10-31 20:44:41,783 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:45:01,295 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:45:21,370 - \u2705 Success | Error 0.0488 | Source API (Live)
2025-10-31 20:45:41,917 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:46:01,711 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:46:22,002 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:46:41,804 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:47:01,462 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:47:22,572 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:47:41,458 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:48:01,315 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:48:21,868 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:48:41,303 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:49:02,383 - \u2705 Success | Error 0.0491 | Source API (Live)
2025-10-31 20:49:22,103 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:49:41,472 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:50:01,517 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:50:22,090 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:50:41,529 - \u2705 Success | Error 0.049 | Source API (Live)
2025-10-31 20:51:01,483 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:51:22,199 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:51:41,364 - \u2705 Success | Error 0.0489 | Source API (Live)
2025-10-31 20:52:01,362 - \u2705 Success | Error 0.0488 | Source API (Live)
2025-10-31 20:52:21,558 - \u2705 Success | Error 0.0488 | Source API (Live)
2025-10-31 20:52:41,485 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:53:02,208 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:53:21,544 - \u2705 Success | Error 0.0487 | Source API (Live)
2025-10-31 20:53:41,618 - \u2705 Success | Error 0.0486 | Source API (Live)
2025-10-31 20:54:01,649 - \u2705 Success | Error 0.0486 | Source API (Live)
2025-10-31 20:54:21,516 - \u2705 Success | Error 0.0485 | Source API (Live)
2025-10-31 20:54:41,441 - \u2705 Success | Error 0.0485 | Source API (Live)
2025-10-31 20:55:01,402 - \u2705 Success | Error 0.0484 | Source API (Live)
2025-10-31 20:55:21,953 - \u2705 Success | Error 0.0484 | Source API (Live)
2025-10-31 20:55:42,334 - \u2705 Success | Error 0.0483 | Source API (Live)
2025-10-31 20:56:02,171 - \u2705 Success | Error 0.0482 | Source API (Live)
2025-10-31 20:56:22,630 - \u2705 Success | Error 0.0482 | Source API (Live)
2025-10-31 20:56:41,691 - \u2705 Success | Error 0.0481 | Source API (Live)
2025-10-31 20:57:01,571 - \u2705 Success | Error 0.0481 | Source API (Live)
2025-10-31 20:57:22,519 - \u2705 Success | Error 0.048 | Source API (Live)
2025-10-31 20:57:41,665 - \u2705 Success | Error 0.0479 | Source API (Live)
2025-10-31 20:58:01,518 - \u2705 Success | Error 0.0479 | Source API (Live)
2025-10-31 20:58:22,087 - \u2705 Success | Error 0.0478 | Source API (Live)
2025-10-31 20:58:41,713 - \u2705 Success | Error 0.0478 | Source API (Live)
2025-10-31 20:59:01,584 - \u2705 Success | Error 0.0477 | Source API (Live)
2025-10-31 20:59:22,019 - \u2705 Success | Error 0.0476 | Source API (Live)
2025-10-31 20:59:42,751 - \u2705 Success | Error 0.0476 | Source API (Live)
2025-10-31 21:00:03,720 - \u2705 Success | Error 0.0065 | Source API (Live)
2025-10-31 21:00:21,818 - \u2705 Success | Error 0.0087 | Source API (Live)
2025-10-31 21:00:42,054 - \u2705 Success | Error 0.0108 | Source API (Live)
2025-10-31 21:01:01,700 - \u2705 Success | Error 0.0127 | Source API (Live)
2025-10-31 21:01:21,565 - \u2705 Success | Error 0.0145 | Source API (Live)
2025-10-31 21:01:42,841 - \u2705 Success | Error 0.0162 | Source API (Live)
2025-10-31 21:02:01,682 - \u2705 Success | Error 0.0178 | Source API (Live)
2025-10-31 21:02:21,695 - \u2705 Success | Error 0.0193 | Source API (Live)
2025-10-31 21:02:42,051 - \u2705 Success | Error 0.0207 | Source API (Live)
2025-10-31 21:03:01,817 - \u2705 Success | Error 0.022 | Source API (Live)
2025-10-31 21:03:21,812 - \u2705 Success | Error 0.0232 | Source API (Live)
2025-10-31 21:03:41,670 - \u2705 Success | Error 0.0243 | Source API (Live)
2025-10-31 21:04:01,731 - \u2705 Success | Error 0.0254 | Source API (Live)
2025-10-31 21:04:21,840 - \u2705 Success | Error 0.0264 | Source API (Live)
2025-10-31 21:04:41,842 - \u2705 Success | Error 0.0273 | Source API (Live)
2025-10-31 21:05:02,385 - \u2705 Success | Error 0.0282 | Source API (Live)
2025-10-31 21:05:22,061 - \u2705 Success | Error 0.029 | Source API (Live)
2025-10-31 21:05:42,140 - \u2705 Success | Error 0.0298 | Source API (Live)
2025-10-31 21:06:01,942 - \u2705 Success | Error 0.0305 | Source API (Live)
2025-10-31 21:06:21,760 - \u2705 Success | Error 0.0312 | Source API (Live)
2025-10-31 21:06:42,999 - \u2705 Success | Error 0.0318 | Source API (Live)
2025-10-31 21:07:02,673 - \u2705 Success | Error 0.0324 | Source API (Live)
2025-10-31 21:07:21,971 - \u2705 Success | Error 0.0329 | Source API (Live)
2025-10-31 21:07:41,811 - \u2705 Success | Error 0.0334 | Source API (Live)
2025-10-31 21:08:02,187 - \u2705 Success | Error 0.0339 | Source API (Live)
2025-10-31 21:08:21,876 - \u2705 Success | Error 0.0343 | Source API (Live)
2025-10-31 21:08:41,939 - \u2705 Success | Error 0.0348 | Source API (Live)
2025-10-31 21:09:03,121 - \u2705 Success | Error 0.0351 | Source API (Live)
2025-10-31 21:09:21,853 - \u2705 Success | Error 0.0355 | Source API (Live)
